หลักทรัพย์,ชื่อผู้ได้มา/จำหน่าย,วิธีการ,ประเภท หลักทรัพย์ 1,% ก่อน ได้มา/ จำหน่าย,% ได้มา/ จำหน่าย,% หลัง ได้มา/ จำหน่าย,วันที่ได้มา/ จำหน่าย,% ก่อน ได้มา/ จำหน่าย (กลุ่ม)2,% ได้มา/ จำหน่าย (กลุ่ม)2,% หลัง ได้มา/ จำหน่าย (กลุ่ม)2,หมายเหตุ3,PDF,หมายเลข
CMO,นาย กิตติ พัวถาวรสกุล,จำหน่าย,หุ้น,15.9665,15.6573,0.3092,10/09/2568,15.9665,15.6573,0.3092,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68c25cb448595bc61ea1da37,246038322509-1
JMART,นาย อรรถวัติ ศิริสิทธิธงไชย,ได้มา,หุ้น,4.9912,0.0136,5.0048,09/09/2568,4.9912,0.0136,5.0048,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/692d486e794d88d1dd8c6efa,246039512512-1
NEWS,นางสาว สีตลา รักประเทศ,ได้มา,หุ้น,2.941,10.0046,12.9456,09/09/2568,2.941,10.0046,12.9456,ผู้รายงานแจ้งยกเลิก,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68bfcb2ba437f635cf3c49e8,246038282509-1
TSI,นาย สันติ ปิยะทัต,จำหน่าย,หุ้น,6.6284,2.444,4.1843,09/09/2568,6.6284,2.444,4.1843,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68c3c2c8583c69472d71d29e,246038362509-1
EASTW,นาย ภวินท์ คุณาดิเรกวงศ์,ได้มา,หุ้น,0.0,18.7196,18.7196,05/09/2568,0.0,18.7196,18.7196,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68bace27896f4890158ea430,246038232509-1
EASTW,บริษัท มะนิลา วอเตอร์ (ประเทศไทย) จำกัด,จำหน่าย,หุ้น,18.7196,18.7196,0.0,05/09/2568,18.7196,18.7196,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b90a40686bab58aef16cc9,246038272509-1
GULF,นาย สารัชถ์ รัตนาวะดี,จำหน่าย,หุ้น,29.6126,0.4149,29.1976,05/09/2568,60.3716,0.4149,59.9566,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68baa190896f4890158ea42f,246038222509-1
STELLA,บริษัท ดีดี มาร์ท โฮลดิ้ง จำกัด,จำหน่าย,หุ้น,6.6606,3.7396,2.9209,05/09/2568,6.6606,3.7396,2.9209,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68be66b08f1869e68caffaac,246038302509-1
VPO,นาย สุทธิลักษณ์ จิราธิวัฒน์,จำหน่าย,หุ้น,10.0313,0.118,9.9133,02/09/2568,10.0313,0.118,9.9133,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b6c2e07328a121aee735c8,246038142509-1
XBIO,นางสาว นิตยา อุทกโยธะ,จำหน่าย,หุ้น,5.2877,0.5243,4.7633,02/09/2568,5.2877,0.5243,4.7633,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/690d92b5273afeb6fa44cb15,246039192511-1
NER,นาย ชูวิทย์ จึงธนสมบูรณ์,จำหน่าย,หุ้น,22.2232,4.3294,17.8937,29/08/2568,22.2232,4.3294,17.8937,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b79a187328a121aee735ca,246038152509-1
SCM,นาย รินพงษ์ ขันรินทร์,ได้มา,หุ้น,0.0,5.2923,5.2923,29/08/2568,0.0,5.2923,5.2923,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b67f980a616c42b1b256cb,246038132509-1
SCM,นาย รินพงษ์ ขันรินทร์,จำหน่าย,หุ้น,5.1987,3.1863,2.0124,29/08/2568,5.1987,3.1863,2.0124,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68e9ee2bd005b76ccbfd80e3,246038132509-2
HYDRO,รินทร์ลิตา ปัญจทัศนาสิทธิ์,จำหน่าย,หุ้น,18.146,9.1891,8.9568,27/08/2568,18.146,9.1891,8.9568,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b7de3a7328a121aee735cc,246038162509-1
MTI,นาง นวลพรรณ ล่ำซำ,ได้มา,หุ้น,12.7978,0.144,12.9418,26/08/2568,14.3757,0.8101,15.1859,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b7e9497328a121aee735ce,246038172509-1
TWPC,บริษัท หลักทรัพย์จัดการกองทุนรวมบัวหลวง จำกัด,จำหน่าย,หุ้น,5.0087,0.0283,4.9804,26/08/2568,5.0087,0.0283,4.9804,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68ae77a2ab3a5d866ba39a85,246038072508-1
NUT,นาย ภาคิณ กิตติภานุวัฒน์,จำหน่าย,หุ้น,50.0,0.0,49.9999,25/08/2568,50.0,0.0,49.9999,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68ad5c3d187c831f74c93397,246038052508-1
PPP,บริษัท พรีเมียร์ ฟิชชั่น แคปปิตอล จำกัด,ได้มา,หุ้น,13.2211,0.074,13.2951,25/08/2568,59.9338,0.074,60.0078,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/692676da953d9a9109e0a526,246039452511-1
THG,บริษัท โรงพยาบาลรามคำแหง จำกัด (มหาชน),ได้มา,หุ้น,16.3054,33.6863,49.9917,25/08/2568,16.3054,33.6863,49.9917,ได้รับการผ่อนผัน,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a29b37fc59947430da884a,246038042508-1
SRICHA,นาย บัลลังก์ เขมาภิรัตน์,ได้มา,หุ้น,9.9407,0.0718,10.0125,22/08/2568,9.9407,0.0718,10.0125,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68be99f38f1869e68caffaad,246038262509-1
ETL,บริษัท ไวส์ โลจิสติกส์ จำกัด (มหาชน),ได้มา,หุ้น,36.8626,3.3064,40.1691,21/08/2568,36.8626,3.3064,40.1691,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a82f2b8f7797667add7a95,246038022508-1
SISB,นางสาว นงค์นภา ทองมี,จำหน่าย,หุ้น,5.1524,0.1595,4.9929,21/08/2568,5.1524,0.1595,4.9929,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a6ee17a97def02f6351712,246038012508-1
ZEN,นาง เนืองนอง จิราธิวัฒน์,ได้มา,หุ้น,2.3111,0.0016,2.3127,21/08/2568,4.9997,0.0016,5.0014,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68c104bda437f635cf3c49f4,246038312509-1
DV8,นางสาว ศุภลักษณ์ แพบรรยง,จำหน่าย,หุ้น,6.2575,6.2575,0.0,20/08/2568,6.2575,6.2575,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b8008d7328a121aee735d4,246038202509-1
DV8,นางสาว สุนันท์ งามอัครกุล,จำหน่าย,หุ้น,10.5019,10.5019,0.0,20/08/2568,10.5019,10.5019,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b7f7e07328a121aee735d0,246038182509-1
DV8,นาย ชัยพร จารุจันทนากุล,จำหน่าย,หุ้น,5.6352,5.6352,0.0,20/08/2568,5.6352,5.6352,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b803ed7328a121aee735d6,246038212509-1
DV8,นาย บุญชัย เกษมวิลาศ,จำหน่าย,หุ้น,22.3368,22.3368,0.0,20/08/2568,22.3368,22.3368,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b68e1f0a616c42b1b256cc,246038112509-1
WARRIX,นาย พงศ์ศักดิ์ ธรรมธัชอารี,จำหน่าย,หุ้น,5.0934,0.2413,4.852,20/08/2568,5.0934,0.2413,4.852,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b157dea1131b8997cfb76e,246038082508-1
BEAUTY,นางสาว ธัญญาภรณ์ ไกรภูเบศ,ได้มา,หุ้น,14.9968,0.1369,15.1338,19/08/2568,14.9968,0.1369,15.1338,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a67c38a97def02f6351710,246038002508-1
PJW,นาย วิวรรธน์ เหมมณฑารพ,จำหน่าย,หุ้น,10.5091,3.911,6.5981,19/08/2568,10.5091,3.911,6.5981,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/684bab05500945fbc58c0ff7,246037992508-1
BH,GIC PRIVATE LIMITED,จำหน่าย,หุ้น,5.1442,0.1574,4.9867,18/08/2568,5.1442,0.1574,4.9867,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a42be5d30081bae5c7cf03,246037982508-1
DPAINT,นางสาว วาณุภัณฒ์ ตั้งคารวคุณ,ได้มา,หุ้น,4.7826,8.6956,13.4782,18/08/2568,4.7826,8.6956,13.4782,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a4598dd30081bae5c7cf0b,246037932508-1
DPAINT,นาย รณฤทธิ์ ตั้งคารวคุณ,ได้มา,หุ้น,7.3913,8.6956,16.0869,18/08/2568,7.3913,8.6956,16.0869,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a458b8d30081bae5c7cf09,246037952508-1
DPAINT,นาย อรรถพล ตั้งคารวคุณ,ได้มา,หุ้น,13.6956,8.6956,22.3913,18/08/2568,13.6956,8.6956,22.3913,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a453f2d30081bae5c7cf07,246037942508-1
MORE,นาย เอกภพ รักตพงศ์ไพศาล,ได้มา,หุ้น,4.9952,0.1881,5.1834,15/08/2568,4.9952,0.1881,5.1834,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a2cd42fc59947430da884c,246037872508-1
MTC,นาย ชูชาติ เพ็ชรอำไพ,จำหน่าย,หุ้น,33.4932,33.4932,0.0,15/08/2568,67.4554,33.4932,33.9622,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68943126795d98ec04df0020,246037892508-1
MTC,นาย ปริทัศน์ เพชรอำไพ,ได้มา,หุ้น,0.1886,16.7466,16.9352,15/08/2568,0.1886,16.7466,16.9352,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6895bbf27507e721cd2d35eb,246037912508-1
MTC,นาย ศึกษิต พัชรชัย,ได้มา,หุ้น,0.0,16.7466,16.7467,15/08/2568,0.0,16.7466,16.7467,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6894294a795d98ec04df001e,246037902508-1
KBANK,INVESCO ASSET MANAGEMENT LIMITED,ได้มา,หุ้น,4.0804,0.1688,4.2492,13/08/2568,4.8619,0.1688,5.0307,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a41d57d30081bae5c7cf01,246037922508-1
SYNTEC,นาย ชวลิต พูนเพิ่มสุวรรณ,ได้มา,หุ้น,4.9928,0.0118,5.0047,13/08/2568,4.9928,0.0118,5.0047,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a57be5d30081bae5c7cf10,246037972508-1
THANI,บริษัท ทุนธนชาต จำกัด (มหาชน),ได้มา,หุ้น,8.1486,0.0287,8.1773,13/08/2568,64.986,0.0287,65.0147,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/689c373ec509620859a81c76,246037842508-1
TIDLOR,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),ได้มา,หุ้น,30.183,16.3303,46.5133,13/08/2568,30.183,16.3303,46.5133,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/689f07ff451b07842a4d9856,246037862508-1
TIDLOR,สยาม เอเชีย เครดิต แอคเซส พีทีอี แอลทีดี,จำหน่าย,หุ้น,16.3303,16.3303,0.0,13/08/2568,16.3303,16.3303,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/689011c3c141219a3d67ae57,246037812508-1
NEWS,นาง โฉมพิศ บุนนาค,ได้มา,หุ้น,0.0,5.6581,5.6581,08/08/2568,0.0,5.6581,5.6581,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/689c3a43c509620859a81c78,246037822508-1
NEWS,นาย ศิริธัช โรจนพฤกษ์,จำหน่าย,หุ้น,5.6581,5.6581,0.0,08/08/2568,5.6581,5.6581,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/689d54b8fc0e4a0dbd4d5c78,246037832508-1
SAM,นาย วรุณชัย ลีกาญจนากร,จำหน่าย,หุ้น,15.1375,0.1913,14.9461,08/08/2568,15.1375,0.1913,14.9461,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a9535b43b0bc43579425128,246043632608-1
BM,บริษัท เอ็ม อี ซี ที จำกัด,จำหน่าย,หุ้น,5.0705,4.9747,0.0958,07/08/2568,5.0705,4.9747,0.0958,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68959b757507e721cd2d35e8,246037782508-1
BM,บริษัท เอ็ม อี ซี ที จำกัด,จำหน่าย,หุ้น,5.0705,0.0958,4.9747,07/08/2568,5.0705,0.0958,4.9747,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/689eae64451b07842a4d9846,246037782508-2
PTECH,นาย พงษ์ศักดิ์ โล่ห์ทองคำ,ได้มา,หุ้น,0.9515,18.151,18.7853,07/08/2568,0.9515,18.151,18.7853,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68947f677507e721cd2d35e7,246037772508-2
DV8,นางสาว ศุภลักษณ์ แพบรรยง,ได้มา,หุ้น,3.5451,2.7123,6.2575,06/08/2568,3.5451,2.7123,6.2575,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b7ffd57328a121aee735d3,246038192509-1
KWI,บริษัท ทอมโม (ประเทศไทย) จำกัด,ได้มา,หุ้น,69.8002,2.1548,71.9551,06/08/2568,69.8002,2.1548,71.9551,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68a44e7dd30081bae5c7cf06,246037962508-1
PLANB,บริษัท วิน ฮาเวสท์ อินเตอร์เนชันแนล จำกัด,ได้มา,หุ้น,0.0,3.1054,3.1054,01/08/2568,4.4175,3.1054,7.5229,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6892cb6be65d8b7bafd18fce,246037752508-1
JPARK,นาย พงศ์ศักดิ์ ธรรมธัชอารี,จำหน่าย,หุ้น,10.0478,0.05,9.9978,30/07/2568,10.0478,0.05,9.9978,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/689c144bc509620859a81c73,246037802508-1
BKA,นาง ภัทรมน ธนวงศ์เกษม,จำหน่าย,หุ้น,6.0619,1.7761,4.2857,29/07/2568,6.0619,1.7761,4.2857,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/689079bac141219a3d67ae5e,246037742508-1
JPARK,นาย พงศ์ศักดิ์ ธรรมธัชอารี,ได้มา,หุ้น,9.0809,0.9669,10.0478,29/07/2568,9.0809,0.9669,10.0478,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/689c133dc509620859a81c72,246037792508-1
MONO,บริษัท พรีเมียม แอสเซท จำกัด,จำหน่าย,หุ้น,0.5733,0.0144,0.5589,29/07/2568,55.0118,0.0144,54.9974,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/688c23f94259eb9fec31b407,246037712508-1
TSR,บริษัท ดับบลิว เอส โอ แอล จำกัด (มหาชน),จำหน่าย,หุ้น,5.2919,0.3991,4.8927,29/07/2568,5.2919,0.3991,4.8927,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/688c81816b713b6709817b23,246037722508-1
KISS,บริษัท จีเอ็มเอ็ม แกรมมี่ จำกัด (มหาชน),จำหน่าย,หุ้น,5.1047,0.2607,4.844,24/07/2568,5.1047,0.2607,4.844,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6881b0173e663577f37b8c0c,246037682507-1
BKA,นาง ภัทรมน ธนวงศ์เกษม,จำหน่าย,หุ้น,11.2646,2.5214,8.7431,23/07/2568,11.2646,2.5214,8.7431,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68907768c141219a3d67ae5c,246037732508-1
AMA,นาย พิพัฒน์ รัชกิจประการ,ได้มา,หุ้น,3.5295,2.8962,6.4257,21/07/2568,32.1079,2.8962,35.0042,ผู้รายงานแจ้งยกเลิก,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68805375bb1d4cd41e92e837,246037672507-1
AMA,นาย พิพัฒน์ รัชกิจประการ,ได้มา,หุ้น,3.5295,2.8962,6.4257,21/07/2568,3.5295,2.8962,6.4257,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a0c17fb7f39376f1afc9886,246041952605-1
DV8,นางสาว กัญญา ชัยสาธิตพร,ได้มา,หุ้น,100.0,73.8861,100.0,18/07/2568,100.0,73.8861,100.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68b697750a616c42b1b256cd,246038122509-1
RS,นาย โสรัตน์ วณิชวรากิจ,จำหน่าย,หุ้น,9.412,4.7832,4.6287,18/07/2568,9.412,4.7832,4.6287,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6879bb19796c4c3aa4924ec0,246037582507-1
TTI,นางสาว สุภัททา บุญนำทรัพย์,ได้มา,หุ้น,8.7211,8.7211,17.4422,18/07/2568,8.7211,8.7211,17.4422,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687dec0afd2b891a51cf2e76,246037652507-1
TTI,บริษัท ไทยรุ่ง โฮลดิ้ง จำกัด,ได้มา,หุ้น,8.7211,8.7211,17.4422,18/07/2568,8.7211,8.7211,17.4422,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687dbd25fd2b891a51cf2e6a,246037622507-1
TTI,บริษัท นำทรัพย์ โฮลดิ้ง จำกัด,จำหน่าย,หุ้น,8.7211,8.7211,0.0,18/07/2568,8.7211,8.7211,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687dc4c3fd2b891a51cf2e6c,246037632507-1
AS,บริษัท ดับบลิว เอส โอ แอล จำกัด (มหาชน),ได้มา,หุ้น,9.9698,2.2617,12.2316,17/07/2568,9.9698,2.2617,12.2316,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687f0899cb56dbf778220b92,246037662507-1
TBN,ROCKET HOLDINGS HK LIMITED,จำหน่าย,หุ้น,8.4375,8.4375,0.0,17/07/2568,8.4375,8.4375,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6879c88d796c4c3aa4924ec3,246037602507-1
TBN,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),ได้มา,หุ้น,0.6027,8.4375,9.0402,17/07/2568,0.6027,8.4375,9.0402,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6879e792796c4c3aa4924ec5,246037592507-1
UBA,บริษัท สยามอีสต์ โซลูชั่น จำกัด (มหาชน),ได้มา,หุ้น,28.6666,1.3989,30.0655,17/07/2568,28.6666,1.3989,30.0655,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6879b0c3796c4c3aa4924ebe,246037572507-1
ECF,นาย กิตติพัชญ์ สุขสวัสดิ์,ได้มา,หุ้น,100.0,16.1253,16.6974,16/07/2568,100.0,16.1253,16.6974,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687ddb42fd2b891a51cf2e72,246037642507-1
ECF,นาย กิตติพัชญ์ สุขสวัสดิ์,ได้มา,หุ้น,0.5721,16.1253,16.6974,16/07/2568,0.5721,16.1253,16.6974,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/688aed6b4259eb9fec31b406,246037642507-2
JPARK,นาย สันติพล เจนวัฒนไพศาล,จำหน่าย,หุ้น,57.7578,5.0,52.7578,15/07/2568,57.7578,5.0,52.7578,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68774aaaec75ca4e8d1062aa,246037482507-1
PLE,นาย เมธัส ศรีสุชาต,ได้มา,หุ้น,4.0834,14.6862,18.7696,15/07/2568,4.0834,14.6862,18.7696,ผู้รายงานแจ้งยกเลิก,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68775708ec75ca4e8d1062ad,246037462507-1
PLE,นาย เมธัส ศรีสุชาต,ได้มา,หุ้น,4.0834,11.0146,14.0772,15/07/2568,4.0834,11.0146,14.0772,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687a139b796c4c3aa4924ec9,246037542507-2
PLE,นาย เสวก ศรีสุชาต,ได้มา,หุ้น,13.2932,11.8958,21.8658,15/07/2568,13.2932,11.8958,21.8658,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687a1262796c4c3aa4924ec8,246037552507-2
SC,บริษัท หลักทรัพย์จัดการกองทุนรวมบัวหลวง จำกัด,จำหน่าย,หุ้น,5.0658,0.1168,4.9489,15/07/2568,5.0658,0.1168,4.9489,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68771cc0ec75ca4e8d1062a7,246037452507-1
SICT,นาย มานพ ธรรมสิริอนันต์,จำหน่าย,หุ้น,22.488,2.4959,19.992,15/07/2568,22.488,2.4959,19.992,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687b64930c2ef676153c8a2e,246037612507-1
A5,นาย ทวีรัช ปรุงพัฒนสกุล,ได้มา,หุ้น,8.4465,4.8556,13.3022,14/07/2568,8.4465,4.8556,13.3022,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687635456a023f74b18588e1,246037412507-1
A5,นาย ทวีรัช ปรุงพัฒนสกุล,ได้มา,หุ้น,8.4465,4.8556,13.3022,14/07/2568,8.4465,4.8556,13.3022,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687f6e85cb56dbf778220b96,246037412507-2
ECF,นาง กนกวรรณ กวางทอง,ได้มา,หุ้น,0.2105,6.1907,6.4013,14/07/2568,0.2105,6.1907,6.4013,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687771ecec75ca4e8d1062b4,246037472507-2
ECF,นาย ณัฐปภัสร์ เกสร์ชัยมงคล,ได้มา,หุ้น,0.564,16.5833,17.1473,14/07/2568,0.564,16.5833,17.1473,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68776a0cec75ca4e8d1062b2,246037502507-1
ECF,นาย อรุต ธนาสุวรรณดิถี,ได้มา,หุ้น,0.3687,10.8408,11.2095,14/07/2568,0.3687,10.8408,11.2095,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68777303ec75ca4e8d1062b5,246037512507-1
PSP,นางสาว อลิษา ครองพาณิชย์,ได้มา,หุ้น,9.9937,0.0074,10.0011,14/07/2568,9.9937,0.0074,10.0011,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687608076a023f74b18588d4,246037382507-1
PSP,นางสาว อลิษา ครองพาณิชย์,จำหน่าย,หุ้น,10.7359,0.7422,9.9937,11/07/2568,10.7359,0.7422,9.9937,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6875f6f16a023f74b18588d2,246037362507-1
TNR,THK INVESTMENT COMPANY LIMITED,จำหน่าย,หุ้น,12.0,12.0,0.0,11/07/2568,29.791,12.0,17.791,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687625bf6a023f74b18588d5,246037392507-1
TNR,นางสาว ศิรินันท์ ดารารัตนโรจน์,จำหน่าย,หุ้น,9.041,0.0,9.041,11/07/2568,10.6498,1.6087,9.041,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687632636a023f74b18588df,246037422507-1
TNR,นาย สมศักดิ์ ดารารัตนโรจน์,จำหน่าย,หุ้น,8.75,0.0,8.75,11/07/2568,10.9587,2.2087,8.75,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68763a0f6a023f74b18588e4,246037442507-1
TNR,นาย อมร ดารารัตนโรจน์,ได้มา,หุ้น,8.75,0.0,8.75,11/07/2568,10.1187,10.6312,20.75,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687634886a023f74b18588e0,246037432507-1
TNR,บริษัท ซี.เอ.เอส. คลีน เอนเนอร์จี จำกัด,ได้มา,หุ้น,0.0,12.0,12.0,11/07/2568,8.75,12.0,20.75,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/687628bf6a023f74b18588d7,246037402507-1
WPH,FIL LIMITED,ได้มา,หุ้น,4.9972,0.0178,5.0151,11/07/2568,4.9972,0.0178,5.0151,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68770f9eec75ca4e8d1062a6,246037492507-1
IVF,นาย ชนะชัย จุลจิราภรณ์,จำหน่าย,หุ้น,33.8205,1.3636,32.4569,08/07/2568,40.5705,1.3636,39.2069,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/686e292387662536906b4aaf,246037352507-1
JCT,นาง นันทนา อรุณวัฒนาพร,ได้มา,หุ้น,2.837,2.837,5.674,04/07/2568,2.837,2.837,5.674,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/686b9f00232c2230ce6844ef,246037332507-1
MENA,นาย ณัฐพล ขจรวุฒิเดช,ได้มา,หุ้น,15.5348,2.7247,18.2596,04/07/2568,42.4035,2.7247,45.1283,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/686b64a0232c2230ce6844e9,246037302507-1
BTC,ซีเควนท์ (สิงคโปร์) ลิมิเต็ด,ได้มานิติบุคคลตามมาตรา 258,หุ้น,0.0,15.007,15.007,03/07/2568,15.007,15.007,15.007,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/686247bb79704064a48678ca,246037262507-1
BTC,นาย ชาญ บูลกุล,สิ้นสุดนิติบุคคลตามมาตรา 258,หุ้น,0.0,15.007,-15.007,03/07/2568,0.0,15.007,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6862408879704064a48678c7,246037272507-1
MATI,นาย ปราปต์ บุนปาน,ได้มา,หุ้น,4.307,2.6976,7.0046,02/07/2568,4.307,2.6976,7.0046,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6865f86b4f3bf658c33c6ce3,246037282507-1
PYLON,นาย บดินทร์ แสงอารยะกุล,ได้มา,หุ้น,9.9616,0.04,10.0016,02/07/2568,9.9616,0.04,10.0016,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68677a2e25299560eff7d63d,246037312507-1
BEC,นาง หทัยรัตน์ จุฬางกูร,ได้มา,หุ้น,9.6701,0.9439,10.6141,01/07/2568,9.6701,0.9439,10.6141,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68648b10f8037ce812c2fc2f,246037132507-1
BTC,ซีเควนท์ (สิงคโปร์) ลิมิเต็ด,ได้มานิติบุคคลตามมาตรา 258,หุ้น,0.0,15.007,15.007,01/07/2568,15.007,15.007,15.007,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/686e196987662536906b4aad,246037262507-2
BTC,นาย ชาญ บูลกุล,สิ้นสุดนิติบุคคลตามมาตรา 258,หุ้น,0.0,15.007,-15.007,01/07/2568,0.0,15.007,0.0,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/686e184887662536906b4aac,246037272507-2
NUT,นาย ภาคิณ กิตติภานุวัฒน์,ได้มา,หุ้น,49.9293,0.0706,50.0,01/07/2568,49.9293,0.0706,50.0,จะลดสัดส่วนการถือหุ้น,https://web-r246-api.sec.or.th/api/forms/pdf/publish/68ac18fe187c831f74c93391,246038032508-1
STPI,นาย อนุทิน ชาญวีรกูล,ได้มา,หุ้น,0.0,9.8388,9.8388,01/07/2568,0.0,9.8388,9.8388,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6863863979704064a48678d1,246037112507-1
STPI,บริษัท หลักทรัพย์จัดการกองทุนเกียรตินาคินภัทร จำกัด,จำหน่าย,หุ้น,9.8388,9.8388,0.0,01/07/2568,9.8388,9.8388,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6863630879704064a48678ce,246037102507-1
